ユニット名,"上位ユニット
完全名","ユニット
種別",位置情報,, サイズ ,,コメント,先行,"接続
種別","実行
エージェント","実行順序
制御","多重
起動","保存
世代数","優先
順位","上位のジョブネットに
依存する",有効範囲,"ジョブ
グループ名","排他
ジョブネット名","リンクする
ルール番号","開始
時刻","処理
サイクル",遅延監視,,起動条件,コマンド文
SLP01N_00001,/差分反映用_SLP/20250408/JP,n,,,100,100,2025/04/08リリース用,,,,しない,n,6,,,,,,,23:30,1日毎,,,,
SLP01N_080MSTB02311,/差分反映用_SLP/20250408/JP/SLP01N_00001,n,35,51,65,50,create_item_attribute_GU,"SLP01N_080MSTB02422
SLP01N_OSLP2385X0100012
SLP01N_OSLP2404X010001
SLPRN_020INFB0206
SLPRN_020INFB0211_60
SLPRN_020INFB0211_62
SLPRN_020INFB0211_63
SLPRN_080MSTB02122
SLPRN_080MSTB0236
SLPRN_080MSTB0237","seq
seq
seq
seq
seq
seq
seq
seq
seq
seq",pajsm21,しない,n,1,,n,,,,1,29:30:00,1日毎,,,,
SLPRN_080MSTB023124,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB02311,j,6,4,,,create_item_attribute_GUHK,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-item-attribute -e BATCH_PROCESS_TARGET=""5/06"""
SLPRN_080MSTB023125,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB02311,j,4,4,,,create_item_attribute_GUTW,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-item-attribute -e BATCH_PROCESS_TARGET=""5/10"""
SLPRN_080MSTB023126,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB02311,j,2,4,,,create_item_attribute_GUJP,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-item-attribute -e BATCH_PROCESS_TARGET=""5/01"""
SLP01N_080MSTB02312,/差分反映用_SLP/20250408/JP/SLP01N_00001,n,41,51,65,50,create_item_attribute_JP,"SLP01N_080MSTB0242
SLP01N_OSLP2385X01000122
SLP01N_OSLP2404X0100012
SLPRN_020INFB02062
SLPRN_020INFB0211_1
SLPRN_080MSTB021222
SLPRN_080MSTB0236
SLPRN_080MSTB0237","seq
seq
seq
seq
seq
seq
seq
seq",pajsm21,しない,n,1,,n,,,,1,28:30:00,1日毎,29:30:00,30:30:00,,
SLPRN_080MSTB023121,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB02312,j,2,3,,,create_item_attribute_UQJP_0,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-item-attribute -e BATCH_PROCESS_TARGET=""1/01"" -e DISTRIBUTED_PROCESS_NUMBER=""0"""
SLPRN_080MSTB023122,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB02312,j,4,3,,,create_item_attribute_UQJP_1,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-item-attribute -e BATCH_PROCESS_TARGET=""1/01"" -e DISTRIBUTED_PROCESS_NUMBER=""1"""
SLPRN_080MSTB023123,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB02312,j,6,3,,,create_item_attribute_UQJP_2,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-item-attribute -e BATCH_PROCESS_TARGET=""1/01"" -e DISTRIBUTED_PROCESS_NUMBER=""2"""
SLP01N_080MSTB02313,/差分反映用_SLP/20250408/JP/SLP01N_00001,n,47,51,65,50,create_item_attribute_ASIA,"SLP01N_080MSTB02422
SLP01N_OSLP2385X010001222
SLP01N_OSLP2404X01000122
SLPRN_020INFB020622
SLPRN_020INFB0211_10
SLPRN_020INFB0211_5
SLPRN_020INFB0211_6
SLPRN_080MSTB0212222
SLPRN_080MSTB0236
SLPRN_080MSTB0237","seq
seq
seq
seq
seq
seq
seq
seq
seq
seq",pajsm21,しない,n,1,,n,,,,1,29:30:00,1日毎,,,,
SLPRN_080MSTB023122,/差分反映用_SLP/20250408/JP/SLP01N_00001/SLP01N_080MSTB02313,j,6,3,,,create_item_attribute_UQHK,,,pajsm21,,,,,,,,,,,,,,,"ssh -o StrictHostKeyChecking=no root@batch-internal.store-layout-planning.ap-northeast-1.fastretailing.com /opt/slp/exec-batch.sh -m create-item-attribute -e BATCH_PROCESS_TARGET=""1/06"""
